Order_ID,Order_Date,Customer,Region,Product,Sales,Cost
2001,2026-01-21,Neha,West,Laptop,16494,13135
2002,2026-01-07,Anjali,North,Monitor,35140,19722
2003,2026-01-28,Vikas,North,Mobile,18889,13511
2004,2026-01-04,Kiran,North,Mobile,89657,66187
2005,2026-03-02,Rahul,West,Laptop,35977,20290
2006,2026-02-24,Neha,East,Printer,25907,18451
2007,2026-02-06,Rohit,South,Laptop,83231,60039
2008,2026-01-13,Anjali,North,Monitor,15229,10954
2009,2026-02-09,Priya,West,Monitor,63045,49374
2010,2026-01-30,Kiran,West,Tablet,46291,28910
2011,2026-01-12,Priya,North,Monitor,46354,32798
2012,2026-02-26,Anjali,West,Tablet,86817,73278
2013,2026-01-08,Suresh,West,Mobile,51833,30871
2014,2026-02-01,Vikas,North,Laptop,80148,57859
2015,2026-02-26,Anjali,East,Tablet,84905,59348
2016,2026-02-21,Pooja,North,Laptop,42381,29337
2017,2026-02-12,Aman,North,Tablet,82752,70167
2018,2026-02-22,Pooja,East,Printer,52482,29220
2019,2026-01-30,Anjali,South,Monitor,22347,15600
2020,2026-01-14,Rohit,South,Mobile,59153,39471
2021,2026-02-25,Pooja,North,Mobile,65875,44168
2022,2026-01-18,Neha,West,Monitor,43493,33138
2023,2026-01-23,Vikas,South,Mobile,17876,10776
2024,2026-01-15,Priya,North,Printer,84217,50926
2025,2026-01-19,Rahul,South,Printer,77069,50925
2026,2026-02-06,Anjali,South,Monitor,87949,65653
2027,2026-02-17,Rahul,West,Monitor,58429,39113
2028,2026-01-26,Aman,West,Printer,15158,9203
2029,2026-01-14,Pooja,South,Laptop,51571,37658
2030,2026-01-07,Rahul,South,Monitor,20299,16943
2031,2026-02-09,Rahul,North,Mobile,87487,57992
2032,2026-02-10,Rohit,East,Monitor,54731,37887
2033,2026-01-08,Pooja,West,Printer,70417,45317
2034,2026-01-10,Aman,East,Tablet,69733,55692
2035,2026-01-11,Suresh,North,Mobile,76239,50205
2036,2026-02-14,Suresh,North,Monitor,46071,38863
2037,2026-02-25,Aman,East,Monitor,55064,45288
2038,2026-01-23,Priya,East,Mobile,87377,69329
2039,2026-02-18,Priya,South,Printer,36719,22397
2040,2026-02-01,Anjali,North,Laptop,43623,30172
2041,2026-01-13,Kiran,East,Printer,52812,44177
2042,2026-01-24,Aman,South,Laptop,36733,25383
2043,2026-01-22,Priya,West,Monitor,86988,69775
2044,2026-01-31,Anjali,North,Laptop,57926,45454
2045,2026-02-18,Priya,West,Mobile,63875,50253
2046,2026-01-22,Aman,West,Printer,59610,46078
2047,2026-01-06,Neha,South,Mobile,10610,6316
2048,2026-02-27,Pooja,South,Monitor,85101,71833
2049,2026-02-12,Anjali,South,Monitor,78864,46474
2050,2026-01-01,Aman,South,Printer,32533,25956
2051,2026-01-14,Rahul,East,Mobile,45399,31795
2052,2026-02-18,Kiran,East,Tablet,78349,52940
2053,2026-01-09,Rahul,East,Printer,83460,66310
2054,2026-02-03,Vikas,South,Monitor,26901,19020
2055,2026-01-02,Pooja,South,Monitor,7515,5882
2056,2026-01-10,Neha,South,Printer,88146,67657
2057,2026-02-05,Rahul,East,Monitor,76563,54867
2058,2026-02-20,Aman,North,Mobile,32074,20305
2059,2026-02-19,Aman,West,Monitor,10652,8287
2060,2026-02-28,Aman,West,Tablet,87285,73494
2061,2026-02-08,Suresh,South,Tablet,66289,46564
2062,2026-02-21,Pooja,South,Monitor,41025,33920
2063,2026-02-27,Priya,West,Mobile,61609,36132
2064,2026-01-29,Anjali,North,Mobile,63143,36113
2065,2026-02-12,Rohit,North,Mobile,54996,32606
2066,2026-02-26,Neha,West,Mobile,19337,12945
2067,2026-02-01,Neha,South,Mobile,63560,53912
2068,2026-01-26,Anjali,West,Mobile,53742,34693
2069,2026-02-16,Anjali,North,Tablet,79620,54746
2070,2026-02-15,Rahul,West,Tablet,74821,55156
2071,2026-02-02,Aman,North,Mobile,20733,11926
2072,2026-01-18,Rahul,South,Tablet,23981,19087
2073,2026-02-24,Rohit,West,Mobile,77333,63857
2074,2026-02-06,Pooja,East,Laptop,43577,24719
2075,2026-02-14,Neha,West,Laptop,42248,35129
2076,2026-02-10,Aman,East,Laptop,86715,69967
2077,2026-01-05,Rohit,North,Printer,8513,5548
2078,2026-02-05,Vikas,East,Monitor,23937,13475
2079,2026-02-15,Priya,North,Mobile,41327,23354
2080,2026-01-13,Rohit,East,Monitor,33983,21646
2081,2026-02-02,Neha,East,Tablet,9380,7957
2082,2026-01-03,Rahul,North,Monitor,79227,66821
2083,2026-02-02,Pooja,South,Printer,20930,15645
2084,2026-02-11,Vikas,West,Monitor,58522,49222
2085,2026-01-20,Priya,South,Tablet,33034,26416
2086,2026-02-15,Neha,West,Tablet,14128,11317
2087,2026-01-01,Aman,East,Printer,28397,16090
2088,2026-02-12,Vikas,East,Monitor,38747,29362
2089,2026-01-03,Pooja,South,Mobile,42263,28897
2090,2026-01-17,Anjali,East,Monitor,49406,30796
2091,2026-02-26,Rohit,South,Tablet,30980,17048
2092,2026-01-25,Aman,West,Tablet,72898,54440
2093,2026-01-16,Suresh,North,Laptop,41625,33096
2094,2026-01-10,Vikas,North,Printer,9948,6365
2095,2026-02-10,Priya,North,Monitor,76361,61544
2096,2026-01-10,Kiran,West,Tablet,71774,42693
2097,2026-02-16,Kiran,South,Laptop,74237,54801
2098,2026-02-16,Suresh,South,Monitor,73108,52677
2099,2026-02-22,Rahul,South,Laptop,11084,6235
2100,2026-02-10,Anjali,North,Printer,66164,47476
2101,2026-02-10,Rahul,South,Printer,41575,22907
2102,2026-02-21,Aman,North,Monitor,15657,12114
2103,2026-01-31,Rohit,North,Tablet,37773,29039
2104,2026-01-14,Priya,West,Printer,57142,32743
2105,2026-02-28,Rohit,North,Monitor,89941,66810
2106,2026-01-05,Kiran,South,Tablet,40284,30030
2107,2026-02-14,Rohit,South,Laptop,70231,39905
2108,2026-01-18,Aman,South,Printer,45123,34413
2109,2026-01-19,Pooja,West,Printer,22532,19106
2110,2026-02-05,Priya,East,Laptop,68989,38306
2111,2026-01-30,Aman,West,Tablet,57704,35369
2112,2026-03-02,Priya,North,Monitor,18836,11160
2113,2026-02-03,Rohit,East,Mobile,86084,68528
2114,2026-02-02,Rohit,North,Tablet,37327,26105
2115,2026-02-26,Pooja,West,Laptop,27849,15346
2116,2026-02-01,Pooja,West,Tablet,25442,17169
2117,2026-01-25,Anjali,North,Tablet,7228,4679
2118,2026-01-22,Vikas,North,Mobile,8536,7003
2119,2026-01-19,Rohit,East,Laptop,58498,39020
2120,2026-02-25,Kiran,North,Tablet,63105,49013
2121,2026-02-24,Rahul,East,Laptop,13765,11017
2122,2026-01-19,Neha,South,Tablet,64178,45135
2123,2026-01-13,Anjali,West,Laptop,89692,60094
2124,2026-02-26,Suresh,South,Laptop,13484,11192
2125,2026-01-27,Pooja,South,Tablet,70645,39892
2126,2026-03-01,Suresh,South,Mobile,68890,46463
